FullLocation,Latitude,Longitude
"Lound [Idle Valley NR], Nottinghamshire, England",53.3401769426,-0.96338922512
"Pleasley Colliery, Derbyshire, England",53.1692819,-1.2640588
"Barton in Fabis, Nottinghamshire, England",52.8899172,-1.2252193
"Burrough Hill, Leicestershire, England",52.6990795,-0.8744755
"Repton, Derbyshire, England",52.839548,-1.5488245
"Beeley Moor 'Triangle', Derbyshire, England",53.20454,-1.5601961
"Heanor, Derbyshire, England",53.0145821,-1.3574966
"Curbar Edge, Derbyshire, England",53.280403,-1.624906
"Straw's Bridge, Derbyshire, England",52.9689264,-1.3273422589384092
"Hell Bank Plantn (SK2868 ), Derbyshire, England",53.201962,-1.6013103
"Aylestone Meadows, Leicestershire, England",52.604471399999994,-1.163990062858983
"High Bridge GP, Derbyshire, England",0.0,0.0
"Warren Lane GP, Leicestershire, England",52.6197168,-1.226451898
"Big Moor, Derbyshire, England",53.2428623,-1.4267924
"Hayfield, Derbyshire, England",53.3800207,-1.9448857
"Milton, Derbyshire, England",52.8358704,-1.5267714
"Pewit Carr, Derbyshire, England",52.972428449999995,-1.3279724780545101
"Calow, Derbyshire, England",53.233897,-1.384143
"Tapton, Derbyshire, England",53.2476365,-1.4121277
"White Edge, Derbyshire, England",53.2858979,-1.6116507
"Draycott, Derbyshire, England",52.8940722,-1.3426249
"Eyebrook Res, Leicestershire, England",52.551203,-0.7409356764993122
"Bakewell, Derbyshire, England",53.2148429,-1.6758613
"Wanlip Meadows, Leicestershire, England",52.69052711,-1.110477318
"Colwick CP, Nottinghamshire, England",52.955481,-1.082895678
"Swarkestone Bridge, Derbyshire, England",52.853254,-1.4536189
"Trent Lock, Derbyshire, England",52.8760561,-1.2734637
"Willington GP, Derbyshire, England",52.8525745,-1.559869439
